root_og	n_species	n_phyla	n_classes	n_orders	n_families	n_genera	phyla_set
2Z7HW	792	15	29	56	114	342	Acidobacteriota;Armatimonadota;Bacillota_B;Bacteroidota;Chloroflexota;Gemmatimonadota;Halobacteriota;Hydrogenedentota;JdFR-76;KSB1;Marinisomatota;OLB16;Planctomycetota;Pseudomonadota;Verrucomicrobiota
2Z7I4	628	2	3	6	10	35	Bacillota;Pseudomonadota
2Z7IG	204	1	1	14	34	103	Cyanobacteriota
2Z7JK	4955	31	50	90	203	1104	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacillota_G;Bacteroidota;Chloroflexota;Cloacimonadota;Cyanobacteriota;Deferribacterota;Desulfobacterota;Desulfobacterota_F;Desulfobacterota_G;Eisenbacteria;Elusimicrobiota;Eremiobacterota;Fibrobacterota;Fusobacteriota;Methanobacteriota;Myxococcota;Planctomycetota;Pseudomonadota;Riflebacteria;SAR324;Spirochaetota;Synergistota;UBA3054;Verrucomicrobiota;Wallbacteria
2Z7JS	106	4	4	7	9	32	Bacillota;Bacillota_A;Bacillota_C;Pseudomonadota
2Z7K2	247	2	4	10	18	59	Desulfobacterota;Pseudomonadota
2Z7KK	1907	20	32	78	148	492	Acidobacteriota;Actinomycetota;Armatimonadota;Bacillota;Bacillota_A;Bacillota_C;Bacillota_F;Bacillota_G;Bacteroidota;Calditrichota;Chloroflexota;Gemmatimonadota;Halobacteriota;KSB1;Marinisomatota;Myxococcota;Planctomycetota;Pseudomonadota;Spirochaetota;Verrucomicrobiota
2Z7KS	1674	23	30	72	137	375	Acidobacteriota;Aquificota;Bacillota;Bacteroidota;Bdellovibrionota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_G;Eremiobacterota;Gemmatimonadota;Halobacteriota;JdFR-76;KSB1;Margulisbacteria;Methylomirabilota;Myxococcota;Nitrospirota;Patescibacteria;Pseudomonadota;Spirochaetota;Thermoplasmatota;Verrucomicrobiota;Zixibacteria
2Z7KX	1226	22	43	84	147	415	Acidobacteriota;Actinomycetota;Bacillota;Bacteroidota;Bdellovibrionota;Campylobacterota;Chloroflexota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_F;Elusimicrobiota;JAMCPX01;KSB1;Latescibacterota;Myxococcota;Nitrospirota;Planctomycetota;Pseudomonadota;SAR324;SZUA-79;Verrucomicrobiota
2Z7MC	304	1	1	2	2	129	Pseudomonadota
2Z7MD	1032	28	39	79	141	360	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacillota_D;Bacteroidota;Bdellovibrionota;Campylobacterota;Chlamydiota;Cloacimonadota;Cyanobacteriota;Deferribacterota;Dependentiae;Desulfobacterota;Desulfobacterota_G;Fusobacteriota;Hydrogenedentota;KSB1;Nitrospirota;Omnitrophota;Patescibacteria;Planctomycetota;Pseudomonadota;Spirochaetota;Thermoplasmatota;Verrucomicrobiota
2Z7MI	188	1	1	13	32	95	Cyanobacteriota
2Z7MW	597	4	5	26	50	156	Bacillota;Nitrospirota;Planctomycetota;Pseudomonadota
2Z7P1	1170	23	54	121	191	427	Acidobacteriota;Actinomycetota;Bacteroidota;Calditrichota;Chloroflexota;Cyanobacteriota;Desulfobacterota_B;Desulfobacterota_D;Dormibacterota;Eisenbacteria;Eremiobacterota;JdFR-76;KSB1;Methylomirabilota;Myxococcota;Nitrospirota;OLB16;Patescibacteria;Planctomycetota;Pseudomonadota;Thermoplasmatota;Thermoproteota;Verrucomicrobiota
2Z7P6	322	1	1	10	25	98	Cyanobacteriota
2Z7PH	217	3	4	8	10	65	Actinomycetota;Bacillota_A;Pseudomonadota
2Z7PM	402	18	28	62	91	196	Acidobacteriota;Actinomycetota;Armatimonadota;Bdellovibrionota;Chloroflexota;Cyanobacteriota;Desulfobacterota_B;Dormibacterota;Eremiobacterota;Gemmatimonadota;Hydrogenedentota;JAAXHH01;Myxococcota;Omnitrophota;Planctomycetota;Pseudomonadota;UBA8248;Verrucomicrobiota
2Z7QF	324	5	5	9	20	64	Actinomycetota;Bacillota;Bacillota_A;Bacteroidota;Halobacteriota
2Z7QR	1163	9	11	53	93	293	Actinomycetota;Bacillota;Bacillota_C;Bacteroidota;Bipolaricaulota;Chloroflexota;Desulfobacterota;Nitrospirota;Pseudomonadota
