root_og	n_species	n_phyla	n_classes	n_orders	n_families	n_genera	phyla_set
29XMJ	1	1	1	1	1	1	['Pseudomonadota']
2BZPQ	1	1	1	1	1	1	['Pseudomonadota']
2CYHX	1	1	1	1	1	1	['Pseudomonadota']
2ECQP	1	1	1	1	1	1	['Pseudomonadota']
2Z7HQ	17	1	2	4	6	8	['Pseudomonadota']
2Z7HV	1	1	1	1	1	1	['Pseudomonadota']
2Z7HW	2	2	2	2	2	2	['Pseudomonadota' 'Bacteroidota']
2Z7HX	2	1	1	1	1	1	['Pseudomonadota']
2Z7I3	2	1	1	1	1	2	['Pseudomonadota']
2Z7I4	1	1	1	1	1	1	['Pseudomonadota']
2Z7I5	2	1	1	2	2	2	['Bacteroidota']
2Z7IA	8	1	2	4	4	5	['Pseudomonadota']
2Z7IB	1	1	1	1	1	1	['Pseudomonadota']
2Z7IG	1	1	1	1	1	1	['Cyanobacteriota']
2Z7IH	1	1	1	1	1	1	['Desulfobacterota']
2Z7II	1	1	1	1	1	1	['Pseudomonadota']
2Z7IN	1	1	1	1	1	1	['Pseudomonadota']
2Z7IQ	1	1	1	1	1	1	['Bacteroidota']
2Z7J1	3	1	1	1	1	2	['Pseudomonadota']
2Z7J4	2	1	1	2	2	2	['Bacteroidota']
2Z7J5	1	1	1	1	1	1	['Bacteroidota']
2Z7J9	12	1	1	2	3	4	['Pseudomonadota']
2Z7JA	2	1	1	2	2	2	['Bacteroidota']
2Z7JB	1	1	1	1	1	1	['Pseudomonadota']
2Z7JD	3	1	1	1	1	1	['Pseudomonadota']
2Z7JG	1	1	1	1	1	1	['Pseudomonadota']
2Z7JJ	3	1	1	2	2	3	['Pseudomonadota']
2Z7JK	1	1	1	1	1	1	['Bacteroidota']
2Z7JS	1	1	1	1	1	1	['Pseudomonadota']
2Z7JV	2	1	1	1	1	2	['Pseudomonadota']
2Z7K2	2	1	1	1	1	1	['Pseudomonadota']
2Z7K7	1	1	1	1	1	1	['Pseudomonadota']
2Z7K8	1	1	1	1	1	1	['Bacteroidota']
2Z7KE	2	1	1	2	2	2	['Pseudomonadota']
2Z7KF	3	1	1	1	1	1	['Pseudomonadota']
2Z7KG	2	1	1	2	2	2	['Pseudomonadota']
2Z7KK	1	1	1	1	1	1	['Bacteroidota']
2Z7KS	9	1	1	3	4	5	['Pseudomonadota']
2Z7KV	3	1	1	3	3	3	['Pseudomonadota']
2Z7KX	1	1	1	1	1	1	['Pseudomonadota']
2Z7KY	1	1	1	1	1	1	['Pseudomonadota']
2Z7M6	1	1	1	1	1	1	['Cyanobacteriota']
2Z7MC	1	1	1	1	1	1	['Pseudomonadota']
2Z7MD	2	1	1	2	2	2	['Pseudomonadota']
2Z7MI	1	1	1	1	1	1	['Cyanobacteriota']
2Z7MQ	2	1	1	2	2	2	['Bacteroidota']
2Z7MU	2	1	1	1	1	2	['Pseudomonadota']
2Z7MW	1	1	1	1	1	1	['Pseudomonadota']
