genus	pangenome_pct_phaC	pangenome_n_species	nmdc_mean_abundance	phb_group
azorhizobium	1.0	1	1.3619200905378196e-16	PHB-high (>=50%)
myxococcus	1.0	12	2.9024526519658453e-16	PHB-high (>=50%)
sorangium	0.0	1	1.4288997671216468e-16	PHB-low (<50%)
lysobacter	1.0	13	3.9629641978764427e-17	PHB-high (>=50%)
pirellula	1.0	1	1.2279607373701653e-17	PHB-high (>=50%)
azospirillum	1.0	17	4.13041338933601e-16	PHB-high (>=50%)
paracoccus	0.967741935483871	31	5.358374126706176e-17	PHB-high (>=50%)
pseudomonas_e	0.9170854271356784	398	9.829267538676643e-16	PHB-high (>=50%)
brevundimonas	1.0	36	1.7861247089020588e-17	PHB-high (>=50%)
burkholderia	1.0	50	6.430048952047412e-16	PHB-high (>=50%)
azotobacter	1.0	3	3.572249417804117e-17	PHB-high (>=50%)
sinorhizobium	1.0	13	3.9518009184458047e-16	PHB-high (>=50%)
ensifer	1.0	10	1.5628591202893013e-16	PHB-high (>=50%)
neorhizobium	1.0	14	1.428899767121647e-16	PHB-high (>=50%)
methylobacterium	1.0	49	5.838395142223603e-16	PHB-high (>=50%)
methylococcus	0.0	1	9.823685898961323e-17	PHB-low (<50%)
serratia	0.0	10	2.6791870633530876e-17	PHB-low (<50%)
nitrobacter	1.0	3	8.484092367284778e-17	PHB-high (>=50%)
thermochromatium	1.0	1	1.7861247089020585e-17	PHB-high (>=50%)
halorhodospira	1.0	3	8.930623544510293e-18	PHB-high (>=50%)
fuscovulum	1.0	1	1.7861247089020585e-17	PHB-high (>=50%)
blastochloris	1.0	1	2.0540434152373673e-16	PHB-high (>=50%)
bacillus_a	1.0	46	5.218833133823203e-17	PHB-high (>=50%)
pauljensenia	0.26666666666666666	30	2.266145724419487e-16	PHB-low (<50%)
mycobacterium	1.0	186	1.790031856702782e-15	PHB-high (>=50%)
amycolatopsis	0.8620689655172413	29	3.3936369469139114e-16	PHB-high (>=50%)
rhodococcus	1.0	51	2.160094569828427e-16	PHB-high (>=50%)
saccharopolyspora_d	0.0	1	1.4288997671216468e-16	PHB-low (<50%)
saccharomonospora	0.0	4	2.0540434152373676e-16	PHB-low (<50%)
frankia	0.0	14	9.823685898961323e-17	PHB-low (<50%)
actinoplanes	0.0	20	2.0540434152373673e-16	PHB-low (<50%)
micromonospora	0.0	50	4.1304133893360107e-16	PHB-low (<50%)
streptomyces	0.01856763925729443	377	2.698164638385172e-15	PHB-low (<50%)
thermomonospora	1.0	2	1.8754309443471615e-16	PHB-high (>=50%)
aeromicrobium	0.07692307692307693	13	8.930623544510294e-17	PHB-low (<50%)
nocardioides	0.9245283018867925	53	1.339593531676544e-16	PHB-high (>=50%)
gordonia	1.0	27	3.1257182405786025e-16	PHB-high (>=50%)
sphaerobacter	0.0	1	9.823685898961323e-17	PHB-low (<50%)
symbiobacterium	0.0	1	1.250287296231441e-16	PHB-low (<50%)
verrucomicrobium	0.0	1	5.581639715318933e-17	PHB-low (<50%)
acidothermus	0.0	2	2.679187063353088e-17	PHB-low (<50%)
mesorhizobium	1.0	72	3.1815346377317917e-16	PHB-high (>=50%)
salmonella	0.0	5	2.2326558861275734e-17	PHB-low (<50%)
rhizobium	1.0	88	3.516433020650928e-16	PHB-high (>=50%)
rhodothermus	0.0	2	1.0270217076186837e-16	PHB-low (<50%)
sphingopyxis	1.0	21	2.5005745924628825e-16	PHB-high (>=50%)
