gtdb_species_clade_id	GTDB_taxonomy	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	no_genomes	no_core	no_aux_genome	no_gene_clusters	phb_status	phb_genes_str	phaC_is_core	phaC_is_aux	has_phaC	has_complete_pathway
s__Klebsiella_pneumoniae--RS_GCF_000742135.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	14240	4199	438925	443124	complete	phaA,phaB,phaC,phaP	False	True	1	1
s__Staphylococcus_aureus--RS_GCF_001027105.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	14526	2083	145831	147914	precursors_only	phaA,phaB,phaP			0	0
s__Salmonella_enterica--RS_GCF_000006945.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	11402	3639	262732	266371	precursors_only	phaA,phaB,phaP			0	0
s__Streptococcus_pneumoniae--RS_GCF_001457635.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	8434	1475	115370	116845	precursors_only	phaA,phaB			0	0
s__Mycobacterium_tuberculosis--RS_GCF_000195955.2	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	6903	3741	139929	143670	complete	phaA,phaB,phaC,phaP	True	True	1	1
s__Pseudomonas_aeruginosa--RS_GCF_001457615.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	6760	5199	250894	256093	complete	phaA,phaB,phaC,phaP	True	True	1	1
s__Acinetobacter_baumannii--RS_GCF_009759685.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	6647	2957	208254	211211	complete	phaA,phaB,phaC,phaP	True	True	1	1
s__Clostridioides_difficile--RS_GCF_001077535.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	2604	3078	95857	98935	precursors_only	phaA			0	0
s__Enterococcus_B_faecium--RS_GCF_001544255.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	2533	1971	73424	75395	precursors_only	phaA,phaP			0	0
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	2453	3574	153463	157037	complete	phaA,phaB,phaC,phaP	False	True	1	1
s__Campylobacter_D_jejuni--RS_GCF_001457695.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_D	2313	1350	50007	51357	precursors_only	phaA,phaB			0	0
s__Enterococcus_faecalis--RS_GCF_000392875.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	2250	2171	66620	68791	precursors_only	phaA,phaP			0	0
s__Listeria_monocytogenes--RS_GCF_900187225.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria	Bacillota	Bacilli	Lactobacillales	Listeriaceae	Listeria	2212	2602	29548	32150	precursors_only	phaA,phaB,phaP			0	0
s__Neisseria_meningitidis--RS_GCF_900638555.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	2121	1427	34542	35969	precursors_only	phaA			0	0
s__Streptococcus_pyogenes--RS_GCF_002055535.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	2082	1394	21235	22629	precursors_only	phaA			0	0
s__Listeria_monocytogenes_B--RS_GCF_000307025.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria	Bacillota	Bacilli	Lactobacillales	Listeriaceae	Listeria	1923	2580	25475	28055	precursors_only	phaA,phaP			0	0
s__Mycobacterium_abscessus--RS_GCF_000069185.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	1825	4070	75332	79402	complete	phaA,phaC,phaP	True	True	1	1
s__Vibrio_parahaemolyticus--RS_GCF_900460535.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	1804	3962	164888	168850	complete	phaA,phaB,phaC	True	True	1	1
s__Burkholderia_mallei--RS_GCF_000011705.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	1741	5149	63820	68969	complete	phaA,phaB,phaC,phaZ	True	True	1	1
s__Vibrio_cholerae--RS_GCF_000621645.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	1538	2930	85388	88318	complete	phaA,phaB,phaC	True	True	1	1
s__Streptococcus_suis--RS_GCF_000294495.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	1621	1531	42216	43747	precursors_only	phaA,phaB			0	0
s__Streptococcus_agalactiae--RS_GCF_000186445.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	1487	1565	29031	30596	precursors_only	phaA,phaP			0	0
s__Pseudomonas_E_viridiflava--RS_GCF_001642795.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	1167	4524	58638	63162	complete	phaA,phaB,phaC,phaP	True	True	1	1
s__Staphylococcus_epidermidis--RS_GCF_006742205.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	1315	1936	51736	53672	precursors_only	phaA,phaP			0	0
s__Campylobacter_D_coli--RS_GCF_000254135.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_D	1130	1420	26559	27979	absent				0	0
s__Bordetella_pertussis--RS_GCF_000306945.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Bordetella	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Bordetella	1019	3550	26476	30026	complete	phaA,phaB,phaC,phaZ	True	True	1	1
s__Wolbachia_pipientis--RS_GCF_021378375.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	896	839	15587	16426	absent				0	0
s__Neisseria_gonorrhoeae--RS_GCF_003315235.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	954	1776	18119	19895	precursors_only	phaA			0	0
s__Brucella_melitensis--RS_GCF_000007125.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Brucella	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Brucella	844	2724	19156	21880	precursors_only	phaA,phaP			0	0
s__Francisella_tularensis--RS_GCF_000008985.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae;g__Francisella	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	852	1834	11273	13107	accessory_only	phaP			0	0
s__Legionella_pneumophila--RS_GCF_000008485.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	842	2423	19980	22403	complete	phaA,phaB,phaC	True	True	1	1
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	801	4104	74651	78755	precursors_only	phaA,phaB			0	0
s__Helicobacter_pylori--RS_GCF_900478295.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	786	1134	44747	45881	precursors_only	phaA			0	0
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	732	2368	40576	42944	precursors_only	phaA,phaP			0	0
s__Yersinia_pestis--RS_GCF_900460465.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	685	3696	40183	43879	precursors_only	phaA			0	0
s__Bacillus_velezensis--RS_GCF_001461825.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	647	3295	34330	37625	precursors_only	phaA,phaB,phaP,phaZ			0	0
s__Klebsiella_variicola--RS_GCF_000828055.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	652	4484	71251	75735	precursors_only	phaA,phaB			0	0
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A	Bacillota	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	622	4352	79200	83552	complete	phaA,phaB,phaC,phaP	True	False	1	1
s__Helicobacter_pylori_C--RS_GCF_000277405.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	609	1178	31530	32708	precursors_only	phaA			0	0
s__Bacillus_subtilis--RS_GCF_000009045.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	559	3517	37076	40593	precursors_only	phaA,phaB,phaP,phaZ			0	0
s__Citrobacter_freundii--RS_GCF_011064845.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	574	3815	71203	75018	complete	phaA,phaB,phaC,phaP	False	True	1	1
