gtdb_species_clade_id	phb_genes_present	phb_status	phb_genes_str	n_phaC_clusters	phaC_is_core	phaC_is_aux
s__0-14-0-80-60-11_sp018897875--GB_GCA_018897875.1	{'phaC'}	synthase_only	phaC	1.0	True	False
s__0-14-3-00-41-53_sp002780895--GB_GCA_002780895.1	{'phaA'}	precursors_only	phaA			
s__01-FULL-45-10b_sp001804205--GB_GCA_001804205.1	{'phaA'}	precursors_only	phaA			
s__01-FULL-54-110_sp001789045--GB_GCA_001789045.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__1-14-0-20-42-23_sp002796345--GB_GCA_002796345.1	{'phaA'}	precursors_only	phaA			
s__1-14-0-20-46-22_sp002796245--GB_GCA_002796245.1	{'phaA'}	precursors_only	phaA			
s__1-14-2-50-31-20_sp018818165--GB_GCA_018818165.1	{'phaA'}	precursors_only	phaA			
s__12-FULL-67-14b_sp002737365--GB_GCA_002737365.1	{'phaA'}	precursors_only	phaA			
s__13-1-40CM-70-15_sp003223415--GB_GCA_003223415.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__13-2-20CM-66-19_sp001914695--GB_GCA_001914695.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	3.0	True	True
s__13-2-20CM-66-19_sp003136935--GB_GCA_003136935.1	{'phaB', 'phaC', 'phaP', 'phaA'}	complete	phaA,phaB,phaC,phaP	2.0	True	False
s__13-2-20CM-66-19_sp005877705--GB_GCA_005877705.1	{'phaB', 'phaC', 'phaP', 'phaA'}	complete	phaA,phaB,phaC,phaP	2.0	False	True
s__13-2-20CM-66-19_sp005878095--GB_GCA_005878095.1	{'phaB', 'phaC', 'phaP', 'phaA'}	complete	phaA,phaB,phaC,phaP	2.0	True	False
s__13-2-20CM-66-19_sp005878835--GB_GCA_005878835.1	{'phaB', 'phaC', 'phaP', 'phaA'}	complete	phaA,phaB,phaC,phaP	2.0	True	False
s__13-2-20CM-66-19_sp019247195--GB_GCA_019247195.1	{'phaB', 'phaC', 'phaP', 'phaA'}	complete	phaA,phaB,phaC,phaP	2.0	True	True
s__13-2-20CM-66-19_sp021790795--GB_GCA_021790795.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__13-2-20CM-66-19_sp021805865--GB_GCA_021805865.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	False	True
s__13-2-20CM-66-19_sp021807675--GB_GCA_021807675.1	{'phaB', 'phaP', 'phaA'}	precursors_only	phaA,phaB,phaP			
s__13-2-20CM-66-19_sp021808195--GB_GCA_021808195.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__13-2-20CM-66-19_sp021838065--GB_GCA_021838065.1	{'phaB', 'phaP', 'phaA'}	precursors_only	phaA,phaB,phaP			
s__13-2-20CM-66-19_sp021843755--GB_GCA_021843755.1	{'phaA'}	precursors_only	phaA			
s__13-2-20CM-66-19_sp021845825--GB_GCA_021845825.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__13-2-20CM-66-19_sp021851405--GB_GCA_021851405.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__13-2-20CM-68-14_sp005884005--GB_GCA_005884005.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__13-2-20CM-68-14_sp005888315--GB_GCA_005888315.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__14-2_sp000403255--GB_GCA_000403255.2	{'phaA'}	precursors_only	phaA			
s__14-2_sp000403315--GB_GCA_000403315.2	{'phaA'}	precursors_only	phaA			
s__14-2_sp009774455--GB_GCA_910585295.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp011960065--GB_GCA_910575555.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp012519695--GB_GCA_012519695.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910575005--GB_GCA_910575005.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910575035--GB_GCA_910575035.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910575075--GB_GCA_910575075.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910575155--GB_GCA_910575155.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910576385--GB_GCA_910576385.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910577785--GB_GCA_910577785.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910580015--GB_GCA_910580015.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910585625--GB_GCA_910585625.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910588285--GB_GCA_910588285.1	{'phaA'}	precursors_only	phaA			
s__14-2_sp910588845--GB_GCA_910588845.1	{'phaA'}	precursors_only	phaA			
