gtdb_species_clade_id	genome_size_Mbp	mean_protein_count	has_phaC	phb_status	gtdb_phylum
s__01-FULL-36-15b_sp001782035--GB_GCA_001782035.1	0.7261945	786.0	0	absent	Patescibacteria
s__1-14-0-10-45-20_sp007378985--GB_GCA_007378985.1	0.760316	839.3333333333334	0	absent	Patescibacteria
s__1-14-0-20-42-23_sp002796345--GB_GCA_002796345.1	1.989099	1893.3333333333333	0	precursors_only	UBA10199
s__1-14-2-50-31-20_sp018818165--GB_GCA_018818165.1	4.891742666666667	3952.0	0	precursors_only	Bacteroidota
s__13-2-20CM-66-19_sp001914695--GB_GCA_001914695.1	3.292490210526316	3257.5789473684213	1	complete	Pseudomonadota
s__13-2-20CM-66-19_sp021807675--GB_GCA_021807675.1	5.215801	5152.0	0	precursors_only	Pseudomonadota
s__13-2-20CM-66-19_sp021843755--GB_GCA_021843755.1	3.3039745	3022.5	0	precursors_only	Pseudomonadota
s__14-2_sp910588845--GB_GCA_910588845.1	3.3639765	2931.0	0	precursors_only	Bacillota_A
s__14-2_sp910588965--GB_GCA_910588965.1	3.533595	2962.0	0	precursors_only	Bacillota_A
s__1XD42-69_sp009911505--GB_GCA_009911505.1	3.72257425	3554.25	0	precursors_only	Bacillota_A
s__2-01-FULL-39-21_sp001792305--GB_GCA_001792305.1	0.8908525	993.5	0	absent	Patescibacteria
s__2-01-FULL-39-28_sp001795735--GB_GCA_001795735.1	0.9915258	1017.0	0	precursors_only	Patescibacteria
s__2-01-FULL-40-13_sp001789645--GB_GCA_001789645.1	1.268311	1485.5	0	precursors_only	Patescibacteria
s__2-01-FULL-40-42_sp001789965--GB_GCA_001789965.1	0.9055064285714285	995.8571428571429	0	absent	Patescibacteria
s__2-01-FULL-41-26_sp001794125--GB_GCA_001794125.1	0.7288748333333334	751.5	0	absent	Patescibacteria
s__2-01-FULL-44-21_sp001777655--GB_GCA_001777655.1	0.792781	888.0	0	absent	Patescibacteria
s__2-01-FULL-46-13_sp001778905--GB_GCA_001778905.1	0.719604	835.5	0	absent	Patescibacteria
s__2-01-FULL-48-16_sp001823155--GB_GCA_001823155.1	0.562219	612.0	0	absent	Patescibacteria
s__2-01-FULL-50-28_sp001816585--GB_GCA_001816585.1	1.2343595	1225.5	0	precursors_only	Patescibacteria
s__2-01-FULL-58-14_sp001824745--GB_GCA_001824745.1	0.7988825	825.5	0	absent	Patescibacteria
s__2-01-FULL-64-13_sp001800095--GB_GCA_001800095.1	1.589499	1548.0	0	precursors_only	Elusimicrobiota
s__2-02-FULL-35-15_sp001784585--GB_GCA_001784585.1	1.9953675	1907.0	1	complete	Cyanobacteriota
