gene_cluster_id	genome_id
JAEWFO010000024.1_130	GB_GCA_023452355.1
JAIIKX010000064.1_8	GB_GCA_022733615.1
NZ_VEWO01000007.1_269	GB_GCA_024787545.1
CAKWXL010000006.1_69	RS_GCF_015548485.1
NZ_JAASIP010000008.1_151	RS_GCF_015554035.1
JALEJR010000043.1_38	RS_GCF_016103195.1
JAEWFO010000024.1_130	RS_GCF_016103195.1
JALEJR010000043.1_38	RS_GCF_020313255.1
JAIICI010000041.1_17	RS_GCF_020313395.1
NZ_JAGYXC010000032.1_43	RS_GCF_020313175.1
JALEJR010000043.1_38	GB_GCA_022734275.1
NZ_JAHYON010000020.1_43	RS_GCF_022835255.1
CAKUTT010000023.1_28	RS_GCF_014131755.1
NZ_JANULP010000003.1_4178	RS_GCF_001405895.1
JALEJR010000043.1_38	RS_GCF_015547765.1
NZ_JAHONP010000048.1_10	RS_GCF_015556465.1
NZ_JAIHBF010000016.1_67	RS_GCF_015670025.1
NZ_JADPFV010000010.1_28	RS_GCF_020313315.1
NZ_JANUON010000003.1_2357	RS_GCF_020313475.1
NC_004663.1_2091	GB_GCA_934882005.1
NZ_JADPBB010000439.1_5	GB_GCA_022726415.1
NZ_JAASIP010000008.1_151	GB_GCA_022733615.1
NZ_JAIHBE010000002.1_241	RS_GCF_024760065.1
NZ_JAASIP010000008.1_151	RS_GCF_019733615.1
NZ_JAJCIB010000006.1_119	RS_GCF_015547765.1
NZ_SATO01000007.1_48	RS_GCF_015556665.1
NZ_QRKS01000025.1_26	RS_GCF_015668615.1
NZ_VEWO01000007.1_269	RS_GCF_020313145.1
NZ_KE159459.1_2489	RS_GCF_020313255.1
CAKUSZ010000036.1_24	RS_GCF_020313475.1
NZ_QRKS01000025.1_26	GB_GCA_905193355.1
NZ_JANULP010000003.1_4178	GB_GCA_024758825.1
JANUNA010000006.1_1921	GB_GCA_000162515.1
NZ_JANUON010000003.1_2357	RS_GCF_014131755.1
NZ_JAHONP010000048.1_10	RS_GCF_022453665.1
NZ_JAJCIB010000006.1_119	RS_GCF_015554205.1
NZ_JAIHBE010000002.1_241	RS_GCF_016103195.1
NC_004663.1_683	RS_GCF_016888545.1
JANUKQ010000001.1_1645	GB_GCA_024758825.1
JANUKQ010000001.1_1645	RS_GCF_014131755.1
JAEWFO010000024.1_130	RS_GCF_014131755.1
NZ_JAHYON010000020.1_43	RS_GCF_024760065.1
