orgId	locusId	min_rank	max_rank	mean_rank	rank_range	n_configs_top50	n_configs_top100	in_top50_all	in_top100_all	original	equal	neighbor_dominant	conservation_dominant	drop_tractability	drop_neighbor
Keio	14796	1	13	3.6666666666666665	12	6	6	True	True	1	2	1	2	13	3
MR1	200382	1	10	2.8333333333333335	9	6	6	True	True	2	1	2	1	10	1
Koxy	BWI76_RS08540	2	5	3.1666666666666665	3	6	6	True	True	3	3	3	3	2	5
pseudo5_N2C3_1	AO356_29395	4	20	9.333333333333334	16	6	6	True	True	4	4	5	4	19	20
MR1	201473	5	40	14.5	35	6	6	True	True	5	7	13	7	40	15
Keio	14768	6	107	27.333333333333332	101	5	5	False	False	6	10	14	9	107	18
MR1	200359	5	44	13.166666666666666	39	6	6	True	True	6	5	9	5	44	10
Putida	PP_1910	8	54	21.833333333333332	46	5	6	False	True	8	13	11	11	54	34
Putida	PP_5002	8	54	21.833333333333332	46	5	6	False	True	8	13	11	11	54	34
Putida	PP_1980	6	73	28.0	67	5	6	False	True	10	11	6	23	73	45
MR1	200343	11	78	30.0	67	5	6	False	True	11	21	17	19	78	34
Putida	PP_1901	11	78	30.0	67	5	6	False	True	11	21	17	19	78	34
Keio	15387	3	151	37.833333333333336	148	5	5	False	False	13	6	48	6	151	3
Putida	PP_4931	7	96	38.0	89	4	6	False	True	13	8	7	58	96	46
Putida	PP_4017	14	101	35.0	87	5	5	False	False	15	16	15	14	101	49
Keio	16703	8	163	42.833333333333336	155	4	5	False	False	16	9	10	8	163	51
pseudo5_N2C3_1	AO356_26130	17	77	42.333333333333336	60	4	6	False	True	17	35	19	32	77	74
pseudo5_N2C3_1	AO356_15335	18	78	39.166666666666664	60	4	6	False	True	18	29	24	25	78	61
pseudo5_N2C3_1	AO356_18485	18	78	39.166666666666664	60	4	6	False	True	18	29	24	25	78	61
Keio	16623	20	183	54.833333333333336	163	5	5	False	False	20	25	29	22	183	50
Putida	PP_3995	8	124	42.166666666666664	116	4	5	False	False	21	12	8	10	124	78
pseudo1_N1B4	Pf1N1B4_1077	21	54	30.666666666666668	33	5	6	False	True	22	24	35	21	54	28
SyringaeB728a	Psyr_4182	1	153	35.666666666666664	152	5	5	False	False	23	18	4	15	1	153
MR1	201916	24	132	50.666666666666664	108	5	5	False	False	24	37	43	34	132	34
MR1	201421	20	136	55.666666666666664	116	4	5	False	False	25	35	20	33	136	85
MR1	199787	24	139	52.333333333333336	115	4	5	False	False	26	27	33	24	139	65
psRCH2	GFF696	15	96	39.0	81	5	6	False	True	27	39	21	36	15	96
Koxy	BWI76_RS08015	28	104	53.333333333333336	76	3	5	False	False	28	54	30	50	54	104
pseudo1_N1B4	Pf1N1B4_4045	29	101	55.0	72	4	5	False	False	29	44	31	41	101	84
MR1	202418	30	157	64.0	127	4	5	False	False	30	41	40	40	157	76
Putida	PP_5432	9	163	56.166666666666664	154	4	5	False	False	31	19	98	17	163	9
psRCH2	GFF3247	25	96	46.333333333333336	71	5	6	False	True	32	47	34	44	25	96
Putida	PP_0955	15	166	61.333333333333336	151	4	4	False	False	32	29	101	25	166	15
Keio	14302	16	244	66.33333333333333	228	4	5	False	False	34	17	64	16	244	23
Koxy	BWI76_RS11065	35	104	62.166666666666664	69	2	5	False	False	35	59	41	56	78	104
Koxy	BWI76_RS20425	35	104	62.166666666666664	69	2	5	False	False	35	59	41	56	78	104
Koxy	BWI76_RS14220	18	97	46.166666666666664	79	4	6	False	True	37	21	84	18	97	20
HerbieS	HSERO_RS23355	3	112	38.333333333333336	109	5	5	False	False	37	29	24	25	3	112
pseudo1_N1B4	Pf1N1B4_3691	2	155	57.333333333333336	153	4	4	False	False	37	13	155	11	126	2
WCS417	GFF4387	3	112	38.333333333333336	109	5	5	False	False	37	29	24	25	3	112
PV4	5209621	3	112	38.333333333333336	109	5	5	False	False	37	29	24	25	3	112
Putida	PP_0347	14	185	72.83333333333333	171	3	5	False	False	42	19	97	80	185	14
psRCH2	GFF949	32	140	60.666666666666664	108	3	5	False	False	43	57	32	54	38	140
Marino	GFF3334	16	233	75.16666666666667	217	3	5	False	False	44	72	16	66	20	233
Smeli	SMc01122	26	146	67.66666666666667	120	3	5	False	False	45	26	49	146	74	66
Putida	PP_1715	46	198	107.16666666666667	152	1	3	False	False	46	63	56	170	198	110
ANA3	7023808	6	153	52.5	147	5	5	False	False	47	45	22	42	6	153
PV4	5210386	6	153	52.5	147	5	5	False	False	47	45	22	42	6	153
SyringaeB728a	Psyr_0430	8	112	47.833333333333336	104	5	5	False	False	49	42	38	38	8	112
azobra	AZOBR_RS15735	8	112	47.833333333333336	104	5	5	False	False	49	42	38	38	8	112
MR1	201653	37	208	78.33333333333333	171	3	5	False	False	51	40	46	37	208	88
MR1	202546	47	215	91.66666666666667	168	1	4	False	False	52	55	47	53	215	128
pseudo1_N1B4	Pf1N1B4_2188	25	151	63.833333333333336	126	3	4	False	False	53	28	101	25	151	25
psRCH2	GFF307	44	166	78.5	122	1	5	False	False	54	80	44	73	54	166
Koxy	BWI76_RS24700	53	142	87.66666666666667	89	0	4	False	False	55	78	53	71	127	142
Keio	15041	18	322	118.83333333333333	304	1	4	False	False	56	61	197	59	322	18
pseudo5_N2C3_1	AO356_03165	24	190	89.83333333333333	166	1	4	False	False	57	56	160	52	190	24
Marino	GFF1927	40	132	68.66666666666667	92	1	5	False	False	57	65	57	61	40	132
Smeli	SMc01876	37	150	74.66666666666667	113	2	4	False	False	59	51	37	47	104	150
PS	Dsui_2724	10	153	59.333333333333336	143	4	5	False	False	60	50	36	47	10	153
Koxy	BWI76_RS21575	27	133	66.33333333333333	106	3	4	False	False	60	38	105	35	133	27
pseudo1_N1B4	Pf1N1B4_881	62	166	112.66666666666667	104	0	3	False	False	62	86	65	160	166	137
PV4	5209781	12	112	55.333333333333336	100	3	5	False	False	63	48	52	45	12	112
Putida	PP_4248	34	248	108.5	214	1	4	False	False	64	70	170	65	248	34
psRCH2	GFF1638	59	166	89.66666666666667	107	0	5	False	False	64	90	59	81	78	166
Marino	GFF2495	45	201	99.33333333333333	156	2	4	False	False	66	80	45	157	47	201
Keio	14665	54	362	146.66666666666666	308	0	4	False	False	67	97	54	89	362	211
Putida	PP_5012	68	267	124.83333333333333	199	0	4	False	False	68	94	77	86	267	157
MR1	203282	68	267	124.83333333333333	199	0	4	False	False	68	94	77	86	267	157
MR1	201504	68	267	124.83333333333333	199	0	4	False	False	68	94	77	86	267	157
pseudo1_N1B4	Pf1N1B4_3157	71	189	111.16666666666667	118	0	4	False	False	71	92	93	85	189	137
pseudo1_N1B4	Pf1N1B4_279	28	190	98.66666666666667	162	1	4	False	False	71	65	177	61	190	28
pseudo1_N1B4	Pf1N1B4_5068	50	194	119.83333333333333	144	1	3	False	False	71	70	50	144	190	194
pseudo1_N1B4	Pf1N1B4_3863	28	190	98.66666666666667	162	1	4	False	False	71	65	177	61	190	28
Keio	14170	47	384	123.66666666666667	337	1	4	False	False	75	51	134	47	384	51
MR1	201543	31	279	104.0	248	3	4	False	False	76	49	143	46	279	31
MR1	200514	34	283	126.16666666666667	249	1	4	False	False	77	85	201	77	283	34
psRCH2	GFF512	77	166	105.33333333333333	89	0	3	False	False	77	106	81	95	107	166
pseudo1_N1B4	Pf1N1B4_5076	60	198	117.16666666666667	138	0	4	False	False	77	89	60	81	198	198
pseudo5_N2C3_1	AO356_07520	6	269	115.83333333333333	263	2	4	False	False	77	53	269	50	240	6
pseudo5_N2C3_1	AO356_15370	61	246	132.33333333333334	185	0	3	False	False	81	77	61	150	246	179
Marino	GFF626	70	211	110.66666666666667	141	0	3	False	False	82	116	70	107	78	211
psRCH2	GFF4301	54	234	113.5	180	0	3	False	False	83	101	54	89	120	234
Smeli	SMc01935	60	154	92.83333333333333	94	0	4	False	False	84	62	109	60	154	88
Marino	GFF2559	58	244	116.33333333333333	186	0	3	False	False	85	111	58	102	98	244
Koxy	BWI76_RS24755	86	196	133.0	110	0	2	False	False	86	123	95	111	187	196
MR1	200242	69	315	146.83333333333334	246	0	3	False	False	87	69	69	176	315	165
Putida	PP_4552	25	322	125.16666666666667	297	1	4	False	False	88	58	203	55	322	25
pseudo1_N1B4	Pf1N1B4_3735	89	279	165.5	190	0	1	False	False	89	121	106	279	232	166
Smeli	SMc00532	68	176	108.16666666666667	108	0	4	False	False	90	73	92	68	176	150
pseudo5_N2C3_1	AO356_21630	76	297	169.5	221	0	2	False	False	91	149	76	136	297	268
pseudo1_N1B4	Pf1N1B4_1589	79	248	140.5	169	0	2	False	False	92	113	207	104	248	79
Smeli	SMc01113	61	180	106.5	119	0	4	False	False	92	63	177	61	180	66
pseudo1_N1B4	Pf1N1B4_227	79	248	140.5	169	0	2	False	False	92	113	207	104	248	79
azobra	AZOBR_RS04720	14	187	94.16666666666667	173	1	5	False	False	95	92	93	84	14	187
Cup4G11	RR42_RS02100	15	274	114.33333333333333	259	1	3	False	False	95	128	62	112	15	274
BFirm	BPHYT_RS02920	15	274	114.33333333333333	259	1	3	False	False	95	128	62	112	15	274
psRCH2	GFF1759	89	176	117.0	87	0	3	False	False	95	101	176	89	145	96
Keio	1936309	57	474	183.83333333333334	417	0	2	False	False	99	112	258	103	474	57
SyringaeB728a	Psyr_4366	18	307	108.33333333333333	289	1	5	False	False	100	91	51	83	18	307
MR1	199216	59	372	151.83333333333334	313	0	3	False	False	101	84	219	76	372	59
Smeli	SMc01940	102	230	153.66666666666666	128	0	0	False	False	102	156	108	139	187	230
acidovorax_3H11	Ac3H11_2068	21	155	90.66666666666667	134	1	3	False	False	103	80	155	73	21	112
WCS417	GFF707	21	155	90.66666666666667	134	1	3	False	False	103	80	155	73	21	112
psRCH2	GFF2741	48	236	126.0	188	1	2	False	False	105	68	236	137	162	48
MR1	200962	71	384	150.0	313	0	3	False	False	106	78	173	71	384	88
RalstoniaUW163	UW163_RS12735	23	317	133.33333333333334	294	1	2	False	False	107	149	71	133	23	317
RalstoniaGMI1000	RS_RS06080	23	317	133.33333333333334	294	1	2	False	False	107	149	71	133	23	317
acidovorax_3H11	Ac3H11_367	25	274	126.66666666666667	249	1	2	False	False	109	142	85	125	25	274
azobra	AZOBR_RS03875	25	274	126.66666666666667	249	1	2	False	False	109	142	85	125	25	274
PV4	5210882	25	274	126.66666666666667	249	1	2	False	False	109	142	85	125	25	274
PS	Dsui_1380	25	274	126.66666666666667	249	1	2	False	False	109	142	85	125	25	274
Cup4G11	RR42_RS13280	25	274	126.66666666666667	249	1	2	False	False	109	142	85	125	25	274
BFirm	BPHYT_RS09060	25	274	126.66666666666667	249	1	2	False	False	109	142	85	125	25	274
ANA3	7024969	25	274	126.66666666666667	249	1	2	False	False	109	142	85	125	25	274
Koxy	BWI76_RS10545	96	240	160.33333333333334	144	0	1	False	False	116	116	207	187	240	96
psRCH2	GFF1156	96	207	134.16666666666666	111	0	1	False	False	116	116	207	104	166	96
MR1	202678	51	404	159.33333333333334	353	0	3	False	False	118	73	243	67	404	51
pseudo1_N1B4	Pf1N1B4_908	80	380	216.5	300	0	1	False	False	118	124	80	380	294	303
DvH	207381	104	244	144.83333333333334	140	0	0	False	False	120	139	104	123	139	244
MR1	201932	34	408	189.16666666666666	374	1	1	False	False	121	125	335	112	408	34
SyringaeB728a	Psyr_4347	33	247	113.5	214	1	3	False	False	122	103	81	95	33	247
SyringaeB728a_mexBdelta	Psyr_4347	33	247	113.5	214	1	3	False	False	122	103	81	95	33	247
HerbieS	HSERO_RS20380	35	338	135.33333333333334	303	1	2	False	False	124	132	66	117	35	338
RalstoniaUW163	UW163_RS06735	35	338	135.33333333333334	303	1	2	False	False	124	132	66	117	35	338
Korea	Ga0059261_1455	35	338	135.33333333333334	303	1	2	False	False	124	132	66	117	35	338
pseudo5_N2C3_1	AO356_24660	61	362	187.5	301	0	1	False	False	127	136	318	121	362	61
Putida	PP_3568	86	418	203.83333333333334	332	0	1	False	False	127	105	224	263	418	86
pseudo5_N2C3_1	AO356_01350	126	373	203.0	247	0	0	False	False	129	161	249	180	373	126
Putida	PP_2380	93	430	203.16666666666666	337	0	1	False	False	130	156	271	139	430	93
Putida	PP_4969	93	430	203.16666666666666	337	0	1	False	False	130	156	271	139	430	93
pseudo1_N1B4	Pf1N1B4_3699	93	316	184.16666666666666	223	0	1	False	False	130	156	271	139	316	93
PS	Dsui_3143	39	317	151.5	278	1	2	False	False	133	169	99	152	39	317
acidovorax_3H11	Ac3H11_3367	40	274	147.66666666666666	234	1	1	False	False	134	166	125	147	40	274
MR1	199697	66	434	176.0	368	0	3	False	False	134	87	257	78	434	66
SyringaeB728a	Psyr_1826	40	274	147.66666666666666	234	1	1	False	False	134	166	125	147	40	274
Marino	GFF1531	127	274	168.0	147	0	0	False	False	137	163	127	150	157	274
pseudo1_N1B4	Pf1N1B4_4743	138	330	202.5	192	0	0	False	False	138	171	233	201	330	142
psRCH2	GFF1723	103	305	167.16666666666666	202	0	0	False	False	138	138	103	122	197	305
Cup4G11	RR42_RS34580	44	247	127.66666666666667	203	1	1	False	False	140	120	106	109	44	247
Koxy	BWI76_RS09810	104	283	186.66666666666666	179	0	0	False	False	141	163	282	147	283	104
Putida	PP_0954	125	442	203.16666666666666	317	0	0	False	False	141	141	240	125	442	130
Smeli	SMc00354	10	448	164.16666666666666	438	1	3	False	False	141	76	448	70	240	10
pseudo5_N2C3_1	AO356_16640	6	521	204.83333333333334	515	1	3	False	False	141	87	521	78	396	6
pseudo1_N1B4	Pf1N1B4_5895	135	508	250.5	373	0	0	False	False	145	135	172	508	338	205
WCS417	GFF5279	46	338	154.66666666666666	292	1	2	False	False	145	160	96	143	46	338
MR1	200645	8	493	205.66666666666666	485	1	3	False	False	145	73	493	68	447	8
